f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0132631_Pcra_RunH119L8nuc_n0002371.fastq.gz.bam,z0132631,0,"163,800,434.00",132631,132631,HIBigI,MHI,,F,1,32.84901171,
z0132640_Pcra_RunH106L6_n0002010.fastq.gz.bam,z0132640,0,"160,078,716.00",132640,132640,HIBigI,MHI,,F,2,42.18289409,
z0023319_Pcra_RunH106L6_n0001976.fastq.gz.bam,z0023319,0,"158,681,326.00",23319,23319,HIM,MHI,,M,1,65.61560517,
z0102485_Pcra_RunH119L8nuc_n0002380.fastq.gz.bam,z0102485,0,"158,547,542.00",102485,102485,HIO,MHI,,M,1,190.0293436,
z0091274_Pcra_RunH119L8nuc_n0002396.fastq.gz.bam,z0091274,0,"158,004,605.00",91274,91274,HIOffBigI,MHI,,F,1,183.9227672,
z0018954_Pcra_RunH119L8nuc_n0002342.fastq.gz.bam,z0018954,0,"141,966,401.00",18954,18954,HIM,MHI,,M,1,42.17801367,
z0023320_Pcra_RunH106L6_n0001964.fastq.gz.bam,z0023320,0,"141,749,965.00",23320,23320,HIM,MHI,,F,2,74.72437775,
z0132638_Pcra_RunH106L6_n0002009.fastq.gz.bam,z0132638,0,"141,532,815.00",132638,132638,HIBigI,MHI,,F,2,47.6011469,
z0045925_Pcra_RunH106L6_n0001985.fastq.gz.bam,z0045925,0,"140,256,908.00",45925,45925,HIBigI,MHI,,M,2,74.74816984,
z0033908_Pcra_RunH119L8nuc_n0002387.fastq.gz.bam,z0033908,0,"138,425,351.00",33908,33908,HIO,MHI,,M,1,185.3542582,
z0049048_Pcra_RunH106L6_n0001986.fastq.gz.bam,z0049048,0,"136,339,923.00",49048,49048,HIBigI,MHI,,M,1,75.83394339,
z0132635_Pcra_RunH119L8nuc_n0002372.fastq.gz.bam,z0132635,0,"134,992,376.00",132635,132635,HIBigI,MHI,,F,1,188.4345412,
z0091276_Pcra_RunH119L8nuc_n0002417.fastq.gz.bam,z0091276,0,"131,345,263.00",91276,91276,HIOffBigI,MHI,,F,1,170.988592,
z0092256_Pcra_RunH106L6_n0002013.fastq.gz.bam,z0092256,0,"125,225,283.00",92256,92256,HIO,MHI,,M,1,67.53092972,
z0033892_Pcra_RunH106L6_n0002047.fastq.gz.bam,z0033892,0,"124,795,595.00",33892,33892,HIO,MHI,,F,1,137.9570522,
z0033902_Pcra_RunH106L6_n0001981.fastq.gz.bam,z0033902,0,"123,955,452.00",33902,33902,HIO,MHI,,F,1,88.63347975,
z0132641_Pcra_RunH119L8nuc_n0002398.fastq.gz.bam,z0132641,0,"122,249,365.00",132641,132641,HIBigI,MHI,,M,1,177.6446437,
z0108139_Pcra_RunH106L6_n0002008.fastq.gz.bam,z0108139,0,"119,719,687.00",108139,108139,HIK,MHI,,F,1,83.99072718,
z0018954_Pcra_RunH106L6_n0001975.fastq.gz.bam,z0018954,0,"108,931,449.00",18954,18954,HIM,MHI,,M,1,42.17801367,
z0018955_Pcra_RunH106L6_n0001963.fastq.gz.bam,z0018955,0,"105,176,806.00",18955,18955,HIM,MHI,,F,1,75.57180332,
z0045928_Pcra_RunH119L8nuc_n0002392.fastq.gz.bam,z0045928,0,"102,578,286.00",45928,45928,HIBigI,MHI,,F,1,184.7415813,
z0092254_Pcra_RunH106L6_n0002012.fastq.gz.bam,z0092254,0,"94,153,405.00",92254,92254,HIO,MHI,,F,1,176.1663616,
z0098744_Pcra_RunH106L6_n0002020.fastq.gz.bam,z0098744,0,"92,863,436.00",98744,98744,HIBigI,MHI,,M,1,93.77513421,
z0098743_Pcra_RunH106L6_n0002002.fastq.gz.bam,z0098743,0,"88,850,238.00",98743,98743,HIBigI,MHI,,F,1,103.8962299,
z0033906_Pcra_RunH106L6_n0002050.fastq.gz.bam,z0033906,0,"86,543,322.00",33906,33906,HIO,MHI,,M,1,116.8585896,
z0132636_Pcra_RunH119L8nuc_n0002373.fastq.gz.bam,z0132636,0,"79,597,316.00",132636,132636,HIBigI,MHI,,M,2,190.6066374,
z0091081_Pcra_RunH106L6_n0002003.fastq.gz.bam,z0091081,0,"79,354,199.00",91081,91081,HIBigI,MHI,,F,1,94.34278917,
z0075660_Pcra_RunH119L8nuc_n0002394.fastq.gz.bam,z0075660,0,"75,236,761.00",75660,75660,HIBigI,MHI,,M,1,175.7523182,
z0033899_Pcra_RunH119L8nuc_n0002386.fastq.gz.bam,z0033899,0,"72,141,965.00",33899,33899,HIO,MHI,,F,1,173.9350903,
